"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"12/02/2024","09:20:11",3200805.00,"Jose           ","223dec022024   ","Point 001 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,45.781, 48.622,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.196, 14.719,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.040, 43.124,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.094, 18.665,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:33",3200805.00,"Jose           ","223dec022024   ","Point 002 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,48.482, 51.491,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,17.466, 19.482,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.029, 43.110,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.536, 17.927,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:38",3200805.00,"Jose           ","223dec022024   ","Point 003 / 172",0,17,"58             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,47.651, 50.608,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,12.063, 13.455,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,34.402, 41.163,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.744, 19.526,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:41",3200805.00,"Jose           ","223dec022024   ","Point 004 / 172",0,17,"63             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,38.104, 40.469,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.422, 14.971,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,38.679, 46.281,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.583, 19.312,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:45",3200805.00,"Jose           ","223dec022024   ","Point 005 / 172",0,17,"69             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,41.728, 44.318,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.693, 15.273,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,35.204, 42.123,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.487, 19.185,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:51",3200805.00,"Jose           ","223dec022024   ","Point 006 / 172",0,17,"69             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,39.539, 41.993,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,11.298, 12.602,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,33.222, 39.752,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.168, 17.438,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:55",3200805.00,"Jose           ","223dec022024   ","Point 007 / 172",0,17,"63             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,43.699, 46.411,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.043, 14.548,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,36.894, 44.145,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.388, 19.054,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:20:59",3200805.00,"Jose           ","223dec022024   ","Point 008 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,46.381, 49.259,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,14.074, 15.698,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,38.143, 45.639,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,14.291, 18.925,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:04",3200805.00,"Jose           ","223dec022024   ","Point 009 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,45.111, 47.910,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,12.000, 13.384,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,37.544, 44.923,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,13.479, 17.850,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:09",3200805.00,"Jose           ","223dec022024   ","Point 010 / 172",0,17,"61             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,35.125, 37.305,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,15.894, 17.729,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,39.177, 46.876,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.355, 16.362,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/02/2024","09:21:12",3200805.00,"Jose           ","223dec022024   ","Point 011 / 172",0,17,"91             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"NPA Clearcoat  ","O2100          ","NPA     ",0.00,0.00, 83627.,43.917, 46.643,"Caviar         ","223            ","NPA     ",0.00,0.00, 87827.,13.275, 14.807,"Dark Grey Prime","OP100 8110     ","NPA     ",0.00,0.00, 94215.,34.102, 40.804,"E-Coat         ","ED6670ER       ","PKAF    ",0.00,0.00,104278.,12.023, 15.923,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
