"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"12/03/2024","11:29:58",3200805.00,"Jose           ","6x4dec032024   ","Point 001 / 172",0,17,"72             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,45.849, 48.967,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.216, 14.160,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,36.576, 44.687,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.754, 18.992,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:30:09",3200805.00,"Jose           ","6x4dec032024   ","Point 002 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,49.028, 52.363,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,15.312, 17.749,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,37.576, 45.910,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.608, 20.172,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:30:36",3200805.00,"Jose           ","6x4dec032024   ","Point 003 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,41.566, 44.393,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,10.178, 11.798,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,34.415, 42.048,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.421, 19.914,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:30:41",3200805.00,"Jose           ","6x4dec032024   ","Point 004 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,37.113, 39.637,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.949, 13.850,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,37.404, 45.699,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,15.717, 21.704,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:30:54",3200805.00,"Jose           ","6x4dec032024   ","Point 005 / 172",0,17,"64             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,33.234, 35.495,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.922, 13.819,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,28.416, 34.718,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,22.169, 30.612,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:31:00",3200805.00,"Jose           ","6x4dec032024   ","Point 006 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,39.406, 42.087,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,10.897, 12.631,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,31.657, 38.677,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,12.677, 17.505,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:31:19",3200805.00,"Jose           ","6x4dec032024   ","Point 007 / 172",0,17,"69             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,45.575, 48.675,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,12.959, 15.021,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,40.314, 49.254,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,14.034, 19.380,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:31:27",3200805.00,"Jose           ","6x4dec032024   ","Point 008 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,47.508, 50.740,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.314, 15.433,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,41.202, 50.339,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.772, 19.018,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:31:37",3200805.00,"Jose           ","6x4dec032024   ","Point 009 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,45.420, 48.509,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,11.926, 13.824,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,36.988, 45.190,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,13.362, 18.452,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:31:46",3200805.00,"Jose           ","6x4dec032024   ","Point 010 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,36.162, 38.621,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.093, 15.176,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,38.962, 47.603,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,10.832, 14.958,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"12/03/2024","11:31:54",3200805.00,"Jose           ","6x4dec032024   ","Point 011 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"2K Clearcoat   ","PU-O2100       ","NPA     ",0.00,0.00, 84096.,46.883, 50.072,"Terrane Khaki  ","6X4            ","PPG     ",0.00,0.00, 91270.,13.133, 15.223,"Dk Grey Prime  ","HPCP1766       ","PPG     ",0.00,0.00, 96202.,30.574, 37.355,"E-Coat         ","6670ZR         ","PPG     ",0.00,0.00,108730.,11.622, 16.048,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
