"Date","Time","Revision","Operator","Job Number","Panel","Samples","Atten","Grade","Layers",

"11/27/2024","11:13:03",3200805.00,"Jose           ","8x5nov272024   ","Point 001 / 172",0,17,"73             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,46.909, 50.290,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.371, 14.863,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,37.658, 44.969,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.918, 18.842,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:13:09",3200805.00,"Jose           ","8x5nov272024   ","Point 002 / 172",0,17,"69             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,53.299, 57.139,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,14.701, 16.342,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,40.798, 48.719,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.726, 18.582,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:13:19",3200805.00,"Jose           ","8x5nov272024   ","Point 003 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,45.375, 48.644,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,11.238, 12.492,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,35.656, 42.579,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,14.897, 20.168,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:13:23",3200805.00,"Jose           ","8x5nov272024   ","Point 004 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,38.932, 41.738,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.147, 14.614,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,38.471, 45.940,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,14.970, 20.267,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:13:30",3200805.00,"Jose           ","8x5nov272024   ","Point 005 / 172",0,17,"69             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,36.450, 39.076,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.580, 15.095,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,36.383, 43.447,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,14.380, 19.468,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:13:58",3200805.00,"Jose           ","8x5nov272024   ","Point 006 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,40.186, 43.081,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,12.118, 13.471,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,34.116, 40.740,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.208, 17.881,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:14:11",3200805.00,"Jose           ","8x5nov272024   ","Point 007 / 172",0,17,"71             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,46.014, 49.330,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.403, 14.898,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,39.315, 46.948,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,15.022, 20.337,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:14:40",3200805.00,"Jose           ","8x5nov272024   ","Point 008 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,51.770, 55.500,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,15.846, 17.614,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,39.035, 46.613,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,14.116, 19.110,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:14:46",3200805.00,"Jose           ","8x5nov272024   ","Point 009 / 172",0,17,"56             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,44.008, 47.179,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,14.559, 16.183,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,37.626, 44.931,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.740, 18.601,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:01",3200805.00,"Jose           ","8x5nov272024   ","Point 010 / 172",0,17,"72             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,38.131, 40.878,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,15.721, 17.475,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,36.728, 43.859,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.147, 16.445,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:09",3200805.00,"Jose           ","8x5nov272024   ","Point 011 / 172",0,17,"57             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,47.109, 50.504,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.058, 14.515,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,30.995, 37.013,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.538, 16.975,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:14",3200805.00,"Jose           ","8x5nov272024   ","Point 012 / 172",0,17,"71             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,46.863, 50.239,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.019, 14.472,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,33.883, 40.462,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.805, 17.335,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:22",3200805.00,"Jose           ","8x5nov272024   ","Point 013 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,34.954, 37.473,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.296, 14.779,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,34.783, 41.536,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.069, 17.693,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:41",3200805.00,"Jose           ","8x5nov272024   ","Point 014 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,36.098, 38.699,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,16.319, 18.140,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,42.940, 51.277,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,11.956, 16.186,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:45",3200805.00,"Jose           ","8x5nov272024   ","Point 015 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,43.435, 46.565,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.856, 15.402,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,32.209, 38.462,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.423, 16.818,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:15:53",3200805.00,"Jose           ","8x5nov272024   ","Point 016 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,42.099, 45.132,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.382, 14.875,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,33.947, 40.537,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.114, 16.400,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:16:04",3200805.00,"Jose           ","8x5nov272024   ","Point 017 / 172",0,17,"68             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,35.773, 38.351,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.914, 15.467,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,36.154, 43.173,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.156, 17.811,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:16:25",3200805.00,"Jose           ","8x5nov272024   ","Point 018 / 172",0,17,"67             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,43.241, 46.357,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,16.334, 18.156,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,31.009, 37.029,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.128, 16.419,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:16:29",3200805.00,"Jose           ","8x5nov272024   ","Point 019 / 172",0,17,"70             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,45.751, 49.048,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,15.998, 17.783,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,31.331, 37.413,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.538, 16.974,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:16:34",3200805.00,"Jose           ","8x5nov272024   ","Point 020 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,45.819, 49.121,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,16.363, 18.188,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,30.803, 36.783,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,12.575, 17.024,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:16:47",3200805.00,"Jose           ","8x5nov272024   ","Point 021 / 172",0,17,"66             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,44.650, 47.867,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.348, 14.838,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,32.148, 38.390,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.320, 18.033,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
"11/27/2024","11:16:56",3200805.00,"Jose           ","8x5nov272024   ","Point 022 / 172",0,17,"65             ",4,"Melinex        ","10 mils        ","H2OGLY  ",0.00,0.00,     0., 0.000,  0.000,"Clearcoat      ","O2100          ","NPA     ",0.00,0.00, 84414.,47.099, 50.493,"Nightfall      ","8X5            ","NPA     ",0.00,0.00, 87526.,13.089, 14.549,"Dk Grey Prime  ","OP100 DG       ","NPA     ",0.00,0.00, 94027.,33.265, 39.723,"E-Coat         ","ED6670ZR       ","PKAF    ",0.00,0.00,106599.,13.235, 17.917,"Steel          ","none           ","none    ",0.00,0.00,     0., 0.000,  0.000,
